"Task ID","Difficulty Level","Prompt","Canonical Solution"
"1","Easy","Find the person node named 'Tom Hanks'.","MATCH (tom:Person) WHERE tom.name = 'Tom Hanks' RETURN tom"
"2","Easy","Find the movie node titled 'Cloud Atlas'.","MATCH (cloudAtlas:Movie {title: 'Cloud Atlas'}) RETURN cloudAtlas"
"3","Easy","Find the names of 10 people.","MATCH (people:Person) RETURN people.name LIMIT 10"
"4","Medium","Find the titles of movies released in the 1990s.","MATCH (nineties:Movie) WHERE nineties.released >= 1990 AND nineties.released < 2000 RETURN nineties.title"
"5","Medium","List the titles of all 'Tom Hanks' movies.","MATCH (:Person {name: 'Tom Hanks'})-[:ACTED_IN]->(tomHanksMovies) RETURN tomHanksMovies.title"
"6","Medium","Who directed 'Cloud Atlas'. Return the name.","MATCH (cloudAtlas:Movie {title: 'Cloud Atlas'})<-[:DIRECTED]-(directors) RETURN directors.name"
"7","Hard","Find all movies' titles that 'Tom Hanks' acted in and for each movie retrieved, also find the people's name who acted in that movie.","MATCH (tom:Person {name: 'Tom Hanks'})-[:ACTED_IN]->(m:Movie)<-[:ACTED_IN]-(coactor:Person) RETURN m.title, collect(DISTINCT coactor.name) AS coactors"
"8","Medium","Find the relationships to and from the Cloud Atlas movie and return the name of the person, the type of the relationship and the properties for the relationship.","MATCH (people:Person)-[relatedTo]-(:Movie {title: 'Cloud Atlas'}) RETURN people.name, type(relatedTo), relatedTo"
"9","Hard","Find all movies and/or people nodes who are up to 3 hops away from 'Kevin Bacon' in the graph.","MATCH path = (:Person {name: 'Kevin Bacon'})-[*1..3]-(node) RETURN DISTINCT node"
"10","Hard","Find the shortest path between 'Kevin Bacon' and 'Meg Ryan' in the graph.","MATCH p=shortestPath((bacon:Person {name:'Kevin Bacon'})-[*]-(meg:Person {name:'Meg Ryan'})) RETURN p"
"11","Easy","Count all nodes.","MATCH (n) RETURN count(*)"
"12","Easy","Find all movies' titles reviewed by a person named 'Angela Scope'.","MATCH (:Person {name: 'Angela Scope'})-[:REVIEWED]->(m:Movie) RETURN m.title"
