"Task ID","Difficulty Level","Prompt","Canonical Solution"
"1.1","Easy technical prompt","Find the IXPs' names where the AS with asn 2497 is present.","MATCH (:AS {asn: 2497})-[:MEMBER_OF]->(ixp:IXP) RETURN DISTINCT ixp.name"
"1.2","Easy general prompt","Give me the names of the IXPs where AS2497 is member.","MATCH (:AS {asn: 2497})-[:MEMBER_OF]->(ixp:IXP) RETURN DISTINCT ixp.name"
"2.1","Easy technical prompt","Find the percentage of the population of the Country with country_code 'JP' hosted by the AS with asn 2497.","MATCH (:AS {asn:2497})-[p:POPULATION]-(:Country {country_code:'JP'}) RETURN p.percent"
"2.2","Easy general prompt","Find the percentage of Japan's population in AS2497.","MATCH (:AS {asn:2497})-[p:POPULATION]-(:Country {country_code:'JP'}) RETURN p.percent"
"3.1","Medium technical prompt","For AS with asn 2497 find all rank values and their corresponding Ranking name for Rankings corresponding to Country with country_code 'JP'.","MATCH (:AS  {asn:2497})-[r1:RANK]-(r2:Ranking)--(:Country {country_code:'JP'}) RETURN r1.rank, r2.name"
"3.2","Medium general prompt","Find the rank and the corresponding rankings name for AS2497 in Japan.","MATCH (:AS  {asn:2497})-[r1:RANK]-(r2:Ranking)--(:Country {country_code:'JP'}) RETURN r1.rank, r2.name"
"4.1","Hard technical prompt","Find all the AS nodes that have peer to peer relationship with the AS with asn 2497.","MATCH (:AS {asn:2497})-[:PEERS_WITH {rel: 0}]-(a:AS) RETURN a"
"4.2","Hard general prompt","Which Ases have a settlement-free peering with AS2497?","MATCH (:AS {asn:2497})-[:PEERS_WITH {rel: 0}]-(a:AS) RETURN a"
"5.1","Easy technical prompt","Find all distinct names for the AS with asn 2497.","MATCH (:AS {asn:2497})-[:NAME]-(n:Name) RETURN DISTINCT n.name"
"5.2","Easy general prompt","What are the names of AS2497?","MATCH (:AS {asn:2497})-[:NAME]-(n:Name) RETURN DISTINCT n.name"
"6.1","Easy technical prompt","Find the label of all the tags' corresponding to the AS with asn 2497.","MATCH (:AS {asn:2497})-[:CATEGORIZED]-(t:Tag) RETURN DISTINCT t.label"
"6.2","Easy general prompt","What are the tags for AS2497?","MATCH (:AS {asn:2497})-[:CATEGORIZED]-(t:Tag) RETURN DISTINCT t.label"
"7.1","Easy technical prompt","Find the label of all the tags for the Prefix with prefix 43.249.213.0/24.","MATCH (:Prefix {prefix: '43.249.213.0/24'})-[:CATEGORIZED]-(t:Tag) RETURN DISTINCT t.label"
"7.2","Easy general prompt","What are the tags for 43.249.213.0/24?","MATCH (:Prefix {prefix: '43.249.213.0/24'})-[:CATEGORIZED]-(t:Tag) RETURN DISTINCT t.label"
"8.1","Medium technical prompt","Find the rank value for AS with asn 2497 in the Ranking with name 'CAIDA ASRank'.","MATCH (:AS  {asn:2497})-[r:RANK]-(:Ranking {name:'CAIDA ASRank'}) RETURN r.rank"
"8.2","Medium general prompt","What is the rank for AS2497 in CAIDA ASRank?","MATCH (:AS  {asn:2497})-[r:RANK]-(:Ranking {name:'CAIDA ASRank'}) RETURN r.rank"
"9.1","Medium technical prompt","Find the rank value for DomainName with name 'google.com' in the Ranking with name 'Cisco Umbrella Top 1 million'.","MATCH (:DomainName {name: 'google.com'})-[r:RANK]-(:Ranking {name:'Cisco Umbrella Top 1 million'}) RETURN r.rank"
"9.2","Medium general prompt","What is the rank for google.com in Cisco Umbrella Top 1 million?","MATCH (:DomainName {name: 'google.com'})-[r:RANK]-(:Ranking {name:'Cisco Umbrella Top 1 million'}) RETURN r.rank"
"10.1","Medium technical prompt","Find the rank value for HostName with name 'www.google.com' in the Ranking with name 'Cisco Umbrella Top 1 million'.","MATCH (:HostName {name: 'www.google.com'})-[r:RANK]-(:Ranking {name:'Cisco Umbrella Top 1 million'}) RETURN r.rank"
"10.2","Medium general prompt","What is the rank for www.google.com in Cisco Umbrella Top 1 million?","MATCH (:HostName {name: 'www.google.com'})-[r:RANK]-(:Ranking {name:'Cisco Umbrella Top 1 million'}) RETURN r.rank"
"11.1","Easy technical prompt","Find distinct labels for the tags corresponding to the URL with url 'https://www.flipkart.com/'.","MATCH (:URL {url: 'https://www.flipkart.com/'})-[:CATEGORIZED]->(t:Tag) RETURN DISTINCT t.label"
"11.2","Easy general prompt","What are the tags for https://www.flipkart.com/?","MATCH (:URL {url: 'https://www.flipkart.com/'})-[:CATEGORIZED]->(t:Tag) RETURN DISTINCT t.label"
"12.1","Hard technical prompt","Find the QUERIED_FROM's value for the DomainName with name 'google.com' and the Country with country_code 'US'.","MATCH (:DomainName {name: 'google.com'})-[q:QUERIED_FROM]->(:Country {country_code: 'US'}) RETURN q.value"
"12.2","Hard general prompt","What is the proportion of queries for google.com from the US?","MATCH (:DomainName {name: 'google.com'})-[q:QUERIED_FROM]->(:Country {country_code: 'US'}) RETURN q.value"
"13.1","Hard technical prompt","Find the QUERIED_FROM's value for the DomainName with name 'google.com' from the AS with asn 577.","MATCH (:DomainName {name: 'google.com'})-[q:QUERIED_FROM]->(a:AS {asn: 577}) RETURN q.value"
"13.2","Hard general prompt","What is the proportion of queries for google.com from AS577?","MATCH (:DomainName {name: 'google.com'})-[q:QUERIED_FROM]->(a:AS {asn: 577}) RETURN q.value"
"14.1","Easy technical prompt","Find the distinct asn for ASes corresponding to the Name with name 'IIJ'.","MATCH (a:AS)-[:NAME]-(:Name {name: 'IIJ'}) RETURN DISTINCT a.asn"
"14.2","Easy general prompt","What is IIJ's ASN?","MATCH (a:AS)-[:NAME]-(:Name {name: 'IIJ'}) RETURN DISTINCT a.asn"
"15.1","Medium technical prompt","Find the distinct name of AuthoritativeNameServer that manage the DomainName with name 'jp'.","MATCH (:DomainName {name: 'jp'})-[:MANAGED_BY]->(a:AuthoritativeNameServer) RETURN DISTINCT a.name"
"15.2","Medium general prompt","What are the authoritative nameservers for the .jp domain?","MATCH (:DomainName {name: 'jp'})-[:MANAGED_BY]->(a:AuthoritativeNameServer) RETURN DISTINCT a.name"
"16.1","Easy technical prompt","Find the name of the AuthoritativeNameServer that resolves to the IP with ip 203.119.1.1.","MATCH (a:AuthoritativeNameServer)-[:RESOLVES_TO]->(:IP {ip: '203.119.1.1'}) RETURN DISTINCT a.name"
"16.2","Easy general prompt","Which authoritative name server has the IP address 203.119.1.1?","MATCH (a:AuthoritativeNameServer)-[:RESOLVES_TO]->(:IP {ip: '203.119.1.1'}) RETURN DISTINCT a.name"
"17.1","Hard technical prompt","AS with asn 2907 depends on AS with asn 2497, find the hege values between them.","MATCH (:AS {asn: 2907})-[d:DEPENDS_ON]-(:AS {asn: 2497}) RETURN d.hege"
"17.2","Hard general prompt","What is the AS hegemony value between AS2907 and AS2497.","MATCH (:AS {asn: 2907})-[d:DEPENDS_ON]-(:AS {asn: 2497}) RETURN d.hege"
"18.1","Medium technical prompt","Find the asn of the AS which has rank 1 for Japan (Country with country_code 'JP') according to the Ranking with name 'IHR country ranking: Total AS (JP)'.","MATCH (a:AS)-[r:RANK]->(:Ranking {name: 'IHR country ranking: Total AS (JP)'})-[:COUNTRY]->(:Country {country_code: 'JP'}) RETURN a.asn ORDER BY r.hege DESC LIMIT 1"
"18.2","Medium general prompt","Which AS ranks the highest for Japan in terms of ASes?","MATCH (a:AS)-[r:RANK]->(:Ranking {name: 'IHR country ranking: Total AS (JP)'})-[:COUNTRY]->(:Country {country_code: 'JP'}) RETURN a.asn ORDER BY r.hege DESC LIMIT 1"
"19.1","Easy technical prompt","Find the prefix of Prefix nodes that originate from AS with asn 2497.","MATCH (p:Prefix)<-[:ORIGINATE]-(:AS {asn: 2497}) RETURN p.prefix"
"19.2","Easy general prompt","Which prefixes AS2497 is orginating in BGP?","MATCH (p:Prefix)<-[:ORIGINATE]-(:AS {asn: 2497}) RETURN p.prefix"
"20.1","Easy technical prompt","Find the distinct prefix of Prefix nodes that depends on the AS with asn 2497.","MATCH (p:Prefix)-[:DEPENDS_ON]->(:AS {asn: 2497}) RETURN DISTINCT p.prefix"
"20.2","Easy general prompt","Which prefixes are depending on AS2497?","MATCH (p:Prefix)-[:DEPENDS_ON]->(:AS {asn: 2497}) RETURN DISTINCT p.prefix"
"21.1","Medium technical prompt","Find the distinct prefix of Prefix nodes that are categorized with Tag with label 'RPKI Valid'.","MATCH (p:Prefix)-[:CATEGORIZED]->(:Tag {label: 'RPKI Valid'}) RETURN DISTINCT p.prefix"
